id;isbn;title;authors;language;avg-rating
1;439023483;The Hunger Games (The Hunger Games, #1);Suzanne Collins;eng;4.34
2;439554934;Harry Potter and the Sorcerer's Stone (Harry Potter, #1);J.K. Rowling, Mary GrandPré;eng;4.44
3;316015849;Twilight (Twilight, #1);Stephenie Meyer;en-US;3.57
4;61120081;To Kill a Mockingbird;Harper Lee;eng;4.25
5;743273567;The Great Gatsby;F. Scott Fitzgerald;eng;3.89
6;525478817;The Fault in Our Stars;John Green;eng;4.26
7;618260307;The Hobbit;J.R.R. Tolkien;en-US;4.25
8;316769177;The Catcher in the Rye;J.D. Salinger;eng;3.79
9;1416524797;Angels & Demons  (Robert Langdon, #1);Dan Brown;en-CA;3.85
10;679783261;Pride and Prejudice;Jane Austen;eng;4.24
11;1594480001;The Kite Runner;Khaled Hosseini;eng;4.26
12;62024035;Divergent (Divergent, #1);Veronica Roth;eng;4.24
13;451524934;1984;George Orwell, Erich Fromm, Celâl Üster;eng;4.14
14;452284244;Animal Farm;George Orwell;eng;3.87
15;553296981;The Diary of a Young Girl;Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday;eng;4.1
16;307269752;The Girl with the Dragon Tattoo (Millennium, #1);Stieg Larsson, Reg Keeland;eng;4.11
17;439023491;Catching Fire (The Hunger Games, #2);Suzanne Collins;eng;4.3
18;043965548X;Harry Potter and the Prisoner of Azkaban (Harry Potter, #3);J.K. Rowling, Mary GrandPré, Rufus Beck;eng;4.53
19;618346252;The Fellowship of the Ring (The Lord of the Rings, #1);J.R.R. Tolkien;eng;4.34
20;439023513;Mockingjay (The Hunger Games, #3);Suzanne Collins;eng;4.03
21;439358078;Harry Potter and the Order of the Phoenix (Harry Potter, #5);J.K. Rowling, Mary GrandPré;eng;4.46
22;316166685;The Lovely Bones;Alice Sebold;eng;3.77
23;439064864;Harry Potter and the Chamber of Secrets (Harry Potter, #2);J.K. Rowling, Mary GrandPré;eng;4.37
24;439139600;Harry Potter and the Goblet of Fire (Harry Potter, #4);J.K. Rowling, Mary GrandPré;eng;4.53
25;545010225;Harry Potter and the Deathly Hallows (Harry Potter, #7);J.K. Rowling, Mary GrandPré;eng;4.61
26;307277674;The Da Vinci Code (Robert Langdon, #2);Dan Brown;eng;3.79
27;439785960;Harry Potter and the Half-Blood Prince (Harry Potter, #6);J.K. Rowling, Mary GrandPré;eng;4.54
28;140283331;Lord of the Flies;William Golding;eng;3.64
29;743477111;Romeo and Juliet;William Shakespeare, Robert           Jackson;eng;3.73
30;297859382;Gone Girl;Gillian Flynn;eng;4.03
31;399155341;The Help;Kathryn Stockett;eng;4.45
32;142000671;Of Mice and Men;John Steinbeck;eng;3.84
33;739326228;Memoirs of a Geisha;Arthur Golden;eng;4.08
34;1612130291;Fifty Shades of Grey (Fifty Shades, #1);E.L. James;eng;3.67
35;61122416;The Alchemist;Paulo Coelho, Alan R. Clarke;eng;3.82
36;385732554;The Giver (The Giver, #1);Lois Lowry;eng;4.12
37;60764899;The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1);C.S. Lewis;eng;4.19
38;965818675;The Time Traveler's Wife;Audrey Niffenegger;eng;3.95
39;553588486;A Game of Thrones (A Song of Ice and Fire, #1);George R.R. Martin;eng;4.45
40;143038419;Eat, Pray, Love;Elizabeth Gilbert;eng;3.51
41;786838655;The Lightning Thief (Percy Jackson and the Olympians, #1);Rick Riordan;eng;4.23
42;451529308;Little Women (Little Women, #1);Louisa May Alcott;en-US;4.04
43;142437204;Jane Eyre;Charlotte Brontë, Michael Mason;eng;4.1
44;553816713;The Notebook (The Notebook, #1);Nicholas Sparks;eng;4.06
45;770430074;Life of Pi;Yann Martel;;3.88
46;1565125606;Water for Elephants;Sara Gruen;eng;4.07
47;375831002;The Book Thief;Markus Zusak;eng;4.36
48;307347974;Fahrenheit 451;Ray Bradbury;spa;3.97
49;316160199;New Moon (Twilight, #2);Stephenie Meyer;eng;3.52
50;60513039;Where the Sidewalk Ends;Shel Silverstein;eng;4.29
51;1416914285;City of Bones (The Mortal Instruments, #1);Cassandra Clare;eng;4.12
52;316160202;Eclipse (Twilight, #3);Stephenie Meyer;en-US;3.69
53;375826696;Eragon (The Inheritance Cycle, #1);Christopher Paolini;en-US;3.86
54;345391802;The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1);Douglas Adams;en-US;4.2
55;60929871;Brave New World;Aldous Huxley;eng;3.97
56;031606792X;Breaking Dawn (Twilight, #4);Stephenie Meyer;en-US;3.7
57;142001740;The Secret Life of Bees;Sue Monk Kidd;en-US;4.01
58;142437174;The Adventures of Huckleberry Finn;Mark Twain, John Seelye, Guy Cardwell;eng;3.8
59;64410935;Charlotte's Web;E.B. White, Garth Williams, Rosemary Wells;eng;4.15
60;1400032717;The Curious Incident of the Dog in the Night-Time;Mark Haddon;eng;3.85
61;1594633665;The Girl on the Train;Paula Hawkins;eng;3.88
62;679879242;The Golden Compass (His Dark Materials, #1);Philip Pullman;eng;3.94
63;393978893;Wuthering Heights;Emily Brontë, Richard J. Dunn;eng;3.82
64;743454537;My Sister's Keeper;Jodi Picoult;eng;4.06
65;385333846;Slaughterhouse-Five;Kurt Vonnegut Jr.;eng;4.06
66;446675539;Gone with the Wind;Margaret Mitchell;eng;4.28
67;1594489505;A Thousand Splendid Suns;Khaled Hosseini;eng;4.34
68;671027344;The Perks of Being a Wallflower;Stephen Chbosky;eng;4.21
69;7442912;Insurgent (Divergent, #2);Veronica Roth;eng;4.07
70;812550706;Ender's Game (Ender's Saga, #1);Orson Scott Card;eng;4.3
71;141439475;Frankenstein;Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle;eng;3.75
72;450040186;The Shining (The Shining #1);Stephen King;eng;4.17
73;316068047;The Host (The Host, #1);Stephenie Meyer;en-US;3.84
74;142402516;Looking for Alaska;John Green;eng;4.09
75;014028009X;Bridget Jones's Diary (Bridget Jones, #1);Helen Fielding;eng;3.75
76;141439661;Sense and Sensibility;Jane Austen, Tony Tanner, Ros Ballaster;eng;4.06
77;439244196;Holes (Holes, #1);Louis Sachar, Louis Sachar;eng;3.93
78;307275558;The Devil Wears Prada (The Devil Wears Prada, #1);Lauren Weisberger;eng;3.7
79;143039954;The Odyssey;Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox;eng;3.73
80;156012197;The Little Prince;Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta;eng;4.28
81;074324754X;The Glass Castle;Jeannette Walls;eng;4.24
82;385486804;Into the Wild;Jon Krakauer;eng;3.94
83;141439602;A Tale of Two Cities;Charles Dickens, Richard Maxwell, Hablot Knight Browne;eng;3.81
84;030734813X;Jurassic Park (Jurassic Park, #1);Michael Crichton;spa;3.96
85;60256656;The Giving Tree;Shel Silverstein;eng;4.38
86;385338600;A Time to Kill;John Grisham;eng;4.03
87;374500010;Night (The Night Trilogy #1);Elie Wiesel, Marion Wiesel;eng;4.3
88;014241493X;Paper Towns;John Green;en-US;3.88
89;345418263;The Princess Bride ;William Goldman;en-US;4.25
90;014038572X;The Outsiders;S.E. Hinton;en-US;4.06
91;385737947;The Maze Runner (Maze Runner, #1);James Dashner;eng;4.02
92;61234001;Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1);Steven D. Levitt, Stephen J. Dubner;en-US;3.93
93;517189607;The Secret Garden;Frances Hodgson Burnett;eng;4.12
94;60531045;One Hundred Years of Solitude;Gabriel García Márquez, Gregory Rabassa;eng;4.04
95;375751513;The Picture of Dorian Gray;Oscar Wilde, Jeffrey Eugenides;eng;4.06
96;345803507;Fifty Shades Freed (Fifty Shades, #3);E.L. James;eng;3.88
97;393970124;Dracula;Bram Stoker, Nina Auerbach, David J. Skal;eng;3.98
98;307269981;The Girl Who Played with Fire (Millennium, #2);Stieg Larsson, Reg Keeland;eng;4.22
99;1612130585;Fifty Shades Darker (Fifty Shades, #2);E.L. James;eng;3.87
100;60786507;The Poisonwood Bible;Barbara Kingsolver;eng;4.02
101;349113912;Me Talk Pretty One Day;David Sedaris;eng;3.97
102;99408392;Where the Wild Things Are;Maurice Sendak;eng;4.22
103;140449264;The Count of Monte Cristo;Alexandre Dumas, Robin Buss;eng;4.21
104;307265439;The Road;Cormac McCarthy;eng;3.95
105;7524277;Allegiant (Divergent, #3);Veronica Roth;eng;3.63
106;;Bossypants;Tina Fey;eng;3.94
107;446693804;A Walk to Remember;Nicholas Sparks;en-US;4.15
108;440241413;Confessions of a Shopaholic (Shopaholic, #1);Sophie Kinsella;eng;3.61
109;451525264;Les Misérables;Victor Hugo, Lee Fahnestock, Norman MacAfee;eng;4.14
110;553381695;A Clash of Kings  (A Song of Ice and Fire, #2);George R.R. Martin;eng;4.4
111;143037145;The Memory Keeper's Daughter;Kim Edwards;eng;3.64
112;670026603;Me Before You (Me Before You, #1);Jojo Moyes;eng;4.27
113;684833395;Catch-22;Joseph Heller;en-US;3.98
114;751529818;Tuesdays with Morrie;Mitch Albom, Saulius Dagys;eng;4.06
115;312422156;Middlesex;Jeffrey Eugenides;en-US;3.98
116;143039563;The Adventures of Tom Sawyer;Mark Twain, Guy Cardwell, John Seelye;eng;3.89
117;440498058;A Wrinkle in Time (A Wrinkle in Time Quintet, #1);Madeleine L'Engle;en-US;4.04
118;143038095;The Joy Luck Club;Amy Tan;eng;3.9
119;038549081X;The Handmaid's Tale;Margaret Atwood;eng;4.06
120;385729332;The Sisterhood of the Traveling Pants (Sisterhood, #1);Ann Brashares;eng;3.75
121;;Lolita;Vladimir Nabokov, Craig Raine;eng;3.88
122;60987103;Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1);Gregory Maguire, Douglas Smith;eng;3.52
123;582418275;The Firm (Penguin Readers, Level 5);John Grisham;eng;3.99
124;316098337;Room;Emma Donoghue;eng;4.03
125;521618746;Hamlet;William Shakespeare, Richard Andrews, Rex Gibson;eng;4.0
126;340839937;Dune (Dune Chronicles #1);Frank Herbert;eng;4.19
127;316346624;The Tipping Point: How Little Things Can Make a Big Difference;Malcolm Gladwell;eng;3.92
128;1451648537;Steve Jobs;Walter Isaacson;eng;4.09
129;451163966;One Flew Over the Cuckoo's Nest;Ken Kesey;eng;4.18
130;684830493;The Old Man and the Sea;Ernest Hemingway;eng;3.73
131;142000663;The Grapes of Wrath;John Steinbeck;eng;3.92
132;1401308589;The Five People You Meet in Heaven;Mitch Albom;;3.9
133;451528824;Anne of Green Gables (Anne of Green Gables, #1);L.M. Montgomery;eng;4.23
134;1416914307;City of Glass (The Mortal Instruments, #3);Cassandra Clare;en-US;4.34
135;055357342X;A Storm of Swords (A Song of Ice and Fire, #3);George R.R. Martin;eng;4.54
136;006075995X;Divine Secrets of the Ya-Ya Sisterhood;Rebecca Wells;en-US;3.79
137;440242940;Outlander (Outlander, #1);Diana Gabaldon;eng;4.2
138;142437263;The Scarlet Letter;Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym;eng;3.37
139;1594744769;Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1);Ransom Riggs;en-US;3.89
140;030726999X;The Girl Who Kicked the Hornet's Nest (Millennium, #3);Stieg Larsson, Reg Keeland;en-US;4.2
141;804139024;The Martian;Andy Weir;eng;4.39
142;451207149;The Pillars of the Earth (The Kingsbridge Series, #1);Ken Follett;eng;4.29
143;1476746583;All the Light We Cannot See;Anthony Doerr;eng;4.31
144;1400064163;Unbroken: A World War II Story of Survival, Resilience, and Redemption;Laura Hillenbrand;eng;4.4
145;671027387;Deception Point;Dan Brown;eng;3.67
146;316055433;The Goldfinch;Donna Tartt;eng;3.87
147;1595141715;Thirteen Reasons Why;Jay Asher;eng;4.02
148;452287022;Girl with a Pearl Earring;Tracy Chevalier;eng;3.85
149;525421033;If I Stay (If I Stay, #1);Gayle Forman;en-US;3.96
150;312353766;The Red Tent;Anita Diamant;en-US;4.16
151;786856866;The Sea of Monsters (Percy Jackson and the Olympians, #2);Rick Riordan;eng;4.23
152;446528056;Dear John;Nicholas Sparks;en-US;4.01
153;1416914293;City of Ashes (The Mortal Instruments, #2);Cassandra Clare;eng;4.21
154;743477103;Macbeth;William Shakespeare;eng;3.88
155;618346260;The Two Towers (The Lord of the Rings, #2);J.R.R. Tolkien;en-US;4.42
